,TECHNOLOGY,TRAVEL,EDUCATION,ENTERTAINMENT,SCIENCE,BUSINESS,LAW,HEATH,WORLD,SPORT,NEWS,VEHICLE,LIFE
TECHNOLOGY,1721,21,21,18,38,52,9,8,29,15,12,32,24
TRAVEL,17,1568,10,42,99,42,12,12,51,11,43,15,78
EDUCATION,15,22,1754,19,21,13,16,16,4,15,28,7,70
ENTERTAINMENT,32,61,35,1641,18,11,12,8,29,53,20,7,73
SCIENCE,33,65,36,10,1540,29,2,110,56,8,39,22,50
BUSINESS,65,123,9,15,33,1350,50,36,60,19,118,62,60
LAW,1,9,17,13,2,21,1791,10,15,0,76,12,33
HEATH,13,18,21,15,60,29,18,1644,24,6,53,7,92
WORLD,14,60,15,28,84,55,48,53,1508,18,39,21,57
SPORT,14,17,14,53,6,6,2,8,22,1814,9,27,8
NEWS,19,83,101,11,52,94,127,75,38,17,1312,43,28
VEHICLE,46,15,3,12,18,28,21,2,22,27,58,1743,5
LIFE,29,156,68,90,43,62,23,186,23,17,34,25,1244
